time,fcnt,curDeg,tgtDeg,LDR_E,LDR_W,wake_time_s,E_logic_mWh,Ei_motor_mWh,Ea_motor_mWh,E_solar_mWh,V_logic_V,I_logic_mA,Vi_motor_V,Ii_motor_mA,Va_motor_V,Ia_motor_mA,V_solar_V,I_solar_mA
2025-08-16 00:22:10.039669776+00:00,152,-91.1,-90,540,1022,0,0.02,0,0,0,4.81,34.52,5.11,0.08,0,0,0.2,0.05
2025-08-16 00:52:12.012167315+00:00,153,-91.1,-90,602,1022,0,0.02,0,0,0,4.81,32.09,5.11,0.08,0,0,0,0
2025-08-16 01:22:13.124889881+00:00,154,-91.1,-90,574,1022,0,0.02,0,0,0,4.8,33.8,5.11,0.04,0,0,0.2,0
2025-08-16 01:52:14.037558979+00:00,155,-91.1,-90,644,1022,0,0.02,0,0,0,4.81,32.67,5.11,0.07,0,0,0.2,0
2025-08-16 02:22:15.053103824+00:00,156,-91.1,-90,676,1022,0,0.02,0,0,0,4.81,33.91,5.11,0.08,0,0,0.22,0.1
2025-08-16 02:52:15.957592329+00:00,157,-91.1,-90,746,1021,0,0.02,0,0,0,4.81,32.25,5.11,0.13,0,0,0,0
2025-08-16 03:22:16.982748220+00:00,158,-91.1,-90,716,1021,0,0.02,0,0,0,4.8,33.98,5.11,0.17,0,0,0.22,0.1
2025-08-16 03:52:17.902883160+00:00,159,-91.1,-90,734,1021,0,0.02,0,0,0,4.81,32.57,5.11,0.07,0,0,0.23,0.1
2025-08-16 04:22:18.868280039+00:00,160,-91.1,-90,708,1018,0,0.02,0,0,0,4.82,30.99,5.11,0.12,0,0,0,0
2025-08-16 04:52:19.936598450+00:00,161,-91.1,-90,680,895,0,0.02,0,0,0,4.8,35.08,5.11,0.07,0,0,2.54,0.05
2025-08-16 05:22:27.770599086+00:00,162,-87.9,-81.8,547,615,7,0.16,0,0.15,0,4.81,31.16,5.11,0.11,5.06,53.61,4.09,0.18
2025-08-16 05:32:31.630980430+00:00,163,-78.5,-79.8,531,515,2,0.1,0,0.02,0,4.81,33.17,5.11,0.1,5.08,69.9,4.13,1
2025-08-16 05:42:34.714348116+00:00,164,-82.1,-77.8,527,492,2,0.08,0,0.02,0,4.81,30.91,5.11,0.08,5.06,71.53,4.14,1.34
2025-08-16 05:52:37.470551913+00:00,165,-74.5,-75.7,506,440,2,0.09,0,0.01,0,4.81,33.44,5.11,0.09,5.06,24.83,4.25,1.85
2025-08-16 06:02:45.549524458+00:00,166,-21.1,-73.7,421,354,7,0.15,0,0.15,0.02,4.81,31.14,5.11,0.07,5.06,58.9,4.29,4.45
2025-08-16 06:12:54.440962827+00:00,167,-13.8,-71.7,441,325,8,0.21,0,0.16,0.03,4.81,32.91,5.11,0.11,5.07,41.61,4.26,6.03
2025-08-16 06:23:03.320058163+00:00,168,-10.4,-69.6,421,307,8,0.21,0,0.2,0.04,4.81,32.69,5.11,0.11,5.07,49.45,4.27,6.77
2025-08-16 06:33:12.305239194+00:00,169,-7.9,-67.6,397,269,8,0.2,0,0.18,0.05,4.81,31.21,5.11,0.11,5.07,44.44,4.26,8.95
2025-08-16 06:43:21.280641348+00:00,170,-5.1,-65.5,409,271,8,0.21,0,0.21,0.05,4.81,32.93,5.11,0.11,5.06,50.51,4.33,9.23
2025-08-16 06:53:30.279282072+00:00,171,-2.1,-63.3,411,272,8,0.21,0,0.21,0.06,4.81,32.69,5.11,0.08,5.06,50.57,4.28,9.71
2025-08-16 07:03:39.281053691+00:00,172,0.6,-61.3,401,247,8,0.21,0,0.22,0.07,4.81,32.84,5.11,0.06,5.07,51.03,4.29,11.85
2025-08-16 07:13:48.314111887+00:00,173,3.2,-59.2,396,223,8,0.22,0,0.18,0.08,4.81,33.16,5.11,0.07,5.07,43.19,4.32,14.02
2025-08-16 07:23:58.353450495+00:00,174,5.1,-57.2,389,243,8,0.22,0,0.22,0.08,4.81,33.28,5.11,0.07,5.08,51.31,4.3,13.11
2025-08-16 07:34:07.334611583+00:00,175,8.7,-55.1,410,197,8,0.22,0,0.24,0.1,4.81,33.22,5.11,0.1,5.07,57.16,4.41,17.51
2025-08-16 07:44:16.315557904+00:00,176,10.9,-53.1,404,210,8,0.22,0,0.19,0.1,4.81,32.99,5.11,0.11,5.06,44.74,4.29,17.76
2025-08-16 07:54:26.205927457+00:00,177,13.8,-50.9,415,221,8,0.22,0,0.2,0.1,4.81,32.92,5.11,0.07,5.07,45.65,4.41,17.01
2025-08-16 08:04:35.278963795+00:00,178,17,-48.8,415,219,8,0.21,0,0.19,0.11,4.81,31.66,5.11,0.09,5.07,43.17,4.38,18.75
2025-08-16 08:14:44.371259687+00:00,179,19.6,-46.8,392,207,8,0.22,0,0.26,0.12,4.81,32.57,5.11,0.08,5.08,59.49,4.35,20.17
2025-08-16 08:24:53.345058179+00:00,180,22.8,-44.7,387,216,8,0.22,0,0.21,0.13,4.8,33.07,5.11,0.07,5.07,48.22,4.4,20.94
2025-08-16 08:35:02.326858672+00:00,181,25.5,-42.7,401,215,8,0.21,0,0.2,0.14,4.81,32.13,5.11,0.12,5.06,46.11,4.44,23.07
2025-08-16 08:45:11.319250466+00:00,182,28.7,-40.7,399,210,8,0.21,0,0.25,0.16,4.81,31.69,5.11,0.1,5.08,55.98,4.4,25.39
2025-08-16 08:55:20.392152733+00:00,183,31.9,-38.6,398,172,8,0.21,0,0.18,0.21,4.81,31.7,5.11,0.09,5.07,40.85,4.63,33.86
2025-08-16 09:05:29.289624414+00:00,184,34.9,-36.4,398,220,8,0.22,0,0.2,0.16,4.81,33.04,5.11,0.08,5.07,43.87,4.42,26.32
2025-08-16 09:15:38.351079561+00:00,185,37.7,-34.3,413,232,8,0.22,0,0.22,0.16,4.81,31.76,5.11,0.09,5.08,49.47,4.44,25.51
2025-08-16 09:25:47.437218092+00:00,186,40.6,-32.3,416,240,8,0.23,0,0.21,0.18,4.81,32.95,5.11,0.1,5.08,46.33,4.45,28.41
2025-08-16 09:35:56.419318215+00:00,187,43.4,-30.3,413,264,8,0.23,0,0.25,0.16,4.81,33.04,5.11,0.1,5.08,54.91,4.43,25.21
2025-08-16 09:46:05.400799107+00:00,188,45.5,-28.2,393,318,8,0.23,0,0.22,0.17,4.81,32.78,5.11,0.07,5.08,47.08,4.35,26.97
2025-08-16 10:06:23.464383410+00:00,190,52.3,-24,396,367,8,0.22,0,0.26,0.15,4.81,31.76,5.11,0.07,5.08,56.11,4.48,22.94
2025-08-16 10:16:32.445310929+00:00,191,54.3,-21.9,335,328,8,0.23,0,0.19,0.17,4.81,33.07,5.11,0.13,5.06,39.66,4.43,26.57
2025-08-16 10:26:41.391083138+00:00,192,58.3,-19.9,363,300,8,0.22,0,0.25,0.22,4.81,31.76,5.11,0.17,5.07,52.31,4.46,33
